MMSI,Timestamp,Latitude,Longitude,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Latitude_next,Longitude_next
316034016,2021-11-14 00:00:08,48.8543,-123.49883,0.0,330.4,511,SCHOLARSHIP,,VY5355,60.0,0.0,27.0,9.0,,0,B,48.8543,-123.49883
316034846,2021-11-14 00:00:08,43.75123,-81.7979,1.7,257.2,276,ALGOMA NIAGARA,IMO9619270,CFFO,70.0,0.0,226.0,24.0,7.0,70,A,43.74495702234757,-81.83612336542865
316037865,2021-11-14 00:00:03,42.02605,-82.73122,0.0,9.1,5,PELEE ISLANDER II,IMO9784348,CFK3147,69.0,8.0,67.0,15.0,3.3,69,A,42.02605,-82.73122
316037994,2021-11-14 00:00:09,49.30655,-123.07857,0.1,20.3,511,SEASPAN CAREEN,IMO0801801,A,90.0,0.0,112.0,49.0,5.6,90,A,49.30811209492584,-123.07768376370686
316044371,2021-11-14 00:00:02,42.28595,-83.11971,0.0,359.4,352,HARVEST SPIRIT,IMO9655951,VDAY,70.0,0.0,152.0,22.0,5.6,70,A,42.28595,-83.11971
319174500,2021-11-14 00:00:02,26.6462,-79.70535,11.4,115.1,124,QUANTUM OF SOLACE,IMO1011135,ZGKC6,37.0,0.0,73.0,12.0,3.9,37,A,26.56565641907596,-79.51297642686043
319226700,2021-11-14 00:00:01,29.89233,-81.30792,0.0,216.5,357,MARAE,IMO1008176,WDK6465,0.0,5.0,33.0,8.0,6.0,0,A,29.89233,-81.30792
319421000,2021-11-14 00:00:32,33.58283,-117.872,0.0,244.0,258,ATTESSA,IMO1006099,ZCRH2,37.0,1.0,68.0,11.0,3.2,37,A,33.58283,-117.872
319571000,2021-11-14 00:00:01,26.06034,-80.13112,0.0,107.1,511,FLAG,IMO1006697,ZCFE2,37.0,0.0,62.0,10.0,3.3,37,A,26.06034,-80.13112
338053214,2021-11-14 00:00:06,32.63059,-117.10694,0.0,194.6,72,CHIRON,,UNKNOWN,37.0,0.0,28.0,7.0,,0,A,32.63059,-117.10694
338066882,2021-11-14 00:00:14,32.71686,-117.2307,4.4,309.0,511,CORINTHIAN,,UNKNOWN,37.0,0.0,12.0,9.0,,0,B,32.76297906457728,-117.29839142650373
338091531,2021-11-14 00:00:12,32.71435,-117.23258,0.0,360.0,511,IRISH CREAM,IMO0000000,UNKNOWN,37.0,0.0,12.0,4.0,,0,B,32.71435,-117.23258
338106036,2021-11-14 00:00:21,35.07746,-76.95909,0.0,360.0,511,ESCAPE,,UNKNOWN,37.0,0.0,13.0,4.0,,0,B,35.07746,-76.95909
338109181,2021-11-14 00:00:07,33.48516,-119.02694,6.2,225.9,223,VENTURE,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,33.41329746690859,-119.11585345956823
338109335,2021-11-14 00:00:04,36.59042,-75.99211,0.3,102.9,511,VBFD FB6,,UNKNOWN,31.0,0.0,7.0,9.0,,51,A,36.589304501584756,-75.98604396713351
338117933,2021-11-14 00:00:30,39.52636,-75.81016,0.0,29.3,511,MOET,,UNKNOWN,37.0,0.0,15.0,9.0,,0,B,39.52636,-75.81016
338127859,2021-11-14 00:00:12,42.04656,-87.68331,0.0,360.0,511,VOBAL,,UNKNOWN,31.0,0.0,27.0,9.0,,0,B,42.04656,-87.68331
338131000,2021-11-14 00:00:01,40.65049,-74.11092,0.0,2.2,1,GENESIS EAGLE,IMO9117260,WDG9347,31.0,0.0,37.0,11.0,4.9,57,A,40.65049,-74.11092
338138782,2021-11-14 00:00:22,34.05385,-77.89029,0.0,338.8,511,MELTEMI,,UNKNOWN,37.0,0.0,14.0,9.0,,0,B,34.05385,-77.89029
338141592,2021-11-14 00:00:14,47.65798,-122.37296,0.1,31.9,511,MOLLUSCAN,,UNKNOWN,90.0,0.0,10.0,9.0,,0,B,47.65939399937294,-122.37165329543052
338143158,2021-11-14 00:00:02,31.12964,-81.52582,0.4,198.1,511,DREDGE BRUNSWICK,,UNKNOWN,31.0,3.0,82.0,9.0,,33,A,31.123307498372107,-81.52823796863994
338164033,2021-11-14 00:00:07,34.17909,-119.22353,0.0,0.0,511,AFTER MIDNIGHT,,UNKNOWN,30.0,0.0,21.0,9.0,,0,B,34.17909,-119.22353
338167102,2021-11-14 00:00:07,37.86445,-122.32437,3.1,60.2,511,TWO TRUTHS,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,37.89010968602301,-122.26761722029454
338169735,2021-11-14 00:00:04,37.81173,-122.42593,13.7,63.1,511,SAN FRANCISCO,,UNKNOWN,31.0,0.0,9.0,9.0,,31,A,37.91496631450593,-122.16835748172478
338174273,2021-11-14 00:00:24,48.7563,-122.50519,0.0,288.7,511,SWEET TREAT,,UNKNOWN,37.0,0.0,12.0,9.0,,0,B,48.7563,-122.50519
338180566,2021-11-14 00:00:25,34.72496,-76.6646,0.0,295.5,511,TARAMISU,IMO0000000,UNKNOWN,37.0,0.0,16.0,8.0,,0,B,34.72496,-76.6646
338189606,2021-11-14 00:00:21,38.88309,-76.53335,0.2,350.0,511,KRISTINA MARIE,,UNKNOWN,36.0,0.0,13.0,9.0,,0,B,38.88637048052841,-76.53409308335965
338190801,2021-11-14 00:00:23,38.96135,-76.48329,0.0,354.2,511,SCARECROW,,UNKNOWN,37.0,0.0,15.0,9.0,,0,B,38.96135,-76.48329
338210856,2021-11-14 00:00:05,47.56362,-122.62088,0.0,360.0,511,CAREFREE,,UNKNOWN,36.0,0.0,13.0,9.0,,0,B,47.56362,-122.62088
338211341,2021-11-14 00:00:53,38.98871,-74.83411,0.0,142.0,511,SEA FOX,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,38.98871,-74.83411
338224286,2021-11-14 00:00:00,39.21173,-76.58101,0.0,360.0,511,KOKO6,IMO1095096,895,33.0,15.0,0.0,0.0,0.0,33,A,39.21173,-76.58101
338224676,2021-11-14 00:00:15,32.68197,-117.229,4.8,145.7,146,PIANO,IMO0000000,UNKNOWN,36.0,0.0,14.0,4.0,,0,B,32.61592666852478,-117.1754741156631
338226461,2021-11-14 00:00:02,38.77413,-76.56443,0.0,314.6,511,NO HURRY,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,38.77413,-76.56443
338229709,2021-11-14 00:00:20,34.72167,-76.70412,0.3,213.9,511,REEL FUN,IMO0000000,UNKNOWN,37.0,0.0,0.0,0.0,,0,B,34.71752273501666,-76.70751061831513
338234735,2021-11-14 00:00:24,47.30542,-122.5113,0.1,169.5,511,SOL DESIRE,IMO0000000,UNKNOWN,37.0,0.0,18.0,5.0,,0,B,47.303782346067614,-122.51085238810438
338236591,2021-11-14 00:00:34,34.72624,-76.665,0.0,166.9,511,MIKIE LIKES IT,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,34.72624,-76.665
338237356,2021-11-14 00:00:12,47.66084,-122.37726,0.0,54.8,511,PORTER II,,UNKNOWN,37.0,0.0,27.0,9.0,,0,B,47.66084,-122.37726
338257000,2021-11-14 00:00:09,40.47358,-74.05575,4.8,269.0,274,BROOKS MCCALL,IMO8964367,WCZ7811,90.0,3.0,48.0,12.0,3.0,99,A,40.47218474828352,-74.16082868350246
338322031,2021-11-14 00:00:23,42.61354,-70.68043,0.0,360.0,511,CACHALOT,IMO0000000,UNKNOWN,37.0,0.0,10.0,4.0,,0,B,42.61354,-70.68043
338328296,2021-11-14 00:00:12,32.72401,-117.22355,0.0,119.6,511,SAMMIE JEAN III,IMO0000000,UNKNOWN,37.0,0.0,21.0,4.0,,0,B,32.72401,-117.22355
338336285,2021-11-14 00:00:10,48.55662,-122.87294,0.0,360.0,157,TENACITY,IMO0000000,UNKNOWN,37.0,0.0,10.0,4.0,,0,B,48.55662,-122.87294
338384678,2021-11-14 00:00:24,47.62927,-122.39471,0.0,103.2,511,TURTLES,IMO0000000,UNKNOWN,37.0,0.0,13.0,4.0,,0,B,47.62927,-122.39471
338391669,2021-11-14 00:00:17,32.64307,-117.2419,7.2,48.5,511,VELA SUPREMA,IMO0000000,UNKNOWN,37.0,0.0,0.0,0.0,,0,B,32.72253082647432,-117.1352383655986
338416267,2021-11-14 00:00:06,47.33429,-122.58405,0.3,360.0,511,TNT,IMO0000000,UNKNOWN,37.0,0.0,16.0,5.0,,0,B,47.33928663084249,-122.58405
338428111,2021-11-14 00:00:01,30.28408,-87.5643,0.0,360.0,511,JOURNEY,IMO0000000,UNKNOWN,37.0,0.0,16.0,4.0,,0,B,30.28408,-87.5643
338526000,2021-11-14 00:00:00,47.62912,-122.38212,0.0,216.2,181,UNIMAK,IMO8101680,WCY8622,30.0,0.0,56.0,12.0,3.7,30,A,47.62912,-122.38212
338678000,2021-11-14 00:00:16,36.91658,-76.17436,0.0,248.0,99,DOLORES CHOUEST,IMO8225931,WCP8847,70.0,5.0,54.0,12.0,4.0,35,A,36.91658,-76.17436
338752000,2021-11-14 00:00:11,49.2744,-123.77257,9.1,128.0,124,OCEAN RANGER,IMO9010656,WAM7635,31.0,11.0,35.0,9.0,,32,A,49.18108759547704,-123.58951107268128
338790000,2021-11-14 00:00:03,47.58937,-122.37959,0.0,134.5,227,SALLY FOX,IMO9776729,WDH7915,60.0,0.0,31.0,9.0,,60,A,47.58937,-122.37959
338888000,2021-11-14 00:00:00,47.35272,-90.45563,11.3,80.8,80,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31.0,0.0,41.0,15.0,5.5,31,A,47.382810667303865,-90.18140120485192
338888000,2021-11-14 00:01:10,47.35327,-90.45029,11.4,80.3,80,CLYDE S VAN ENKEVORT,IMO9618484,WDJ4194,31.0,0.0,41.0,15.0,5.5,31,A,47.385261410761494,-90.17403307876846
339244972,2021-11-14 00:00:05,34.80542,-76.68542,0.0,0.0,511,DEAD COW 53,IMO0607430,DEADCOW,51.0,3.0,25.0,16.0,2.0,51,A,34.80542,-76.68542
345000001,2021-11-14 00:00:00,32.34104,-117.09489,0.1,168.8,141,PACIFICA II,IMO7001091,XCPE,80.0,0.0,69.0,10.0,3.7,52,A,32.33940617640523,-117.09450709802996
354410000,2021-11-14 00:00:16,34.41871,-124.3843,11.7,270.8,280,SAGITTARIUS LEADER,IMO9283887,3EAB7,70.0,0.0,199.0,32.0,10.0,70,A,34.42143079057552,-124.62050168090008
354415000,2021-11-14 00:00:03,30.15129,-130.29895,21.0,267.4,266,MSC FABIENNE,IMO9279965,H3SF,70.0,0.0,294.0,32.0,13.6,70,A,30.135423652608427,-130.70302452264164
354544000,2021-11-14 00:00:13,46.51665,-125.35104,10.0,181.9,178,SHUN RU,IMO8307571,3FVS6,70.0,0.0,182.0,30.0,11.0,70,A,46.35018720751658,-125.35906468891964
354658000,2021-11-14 00:00:02,34.45225,-123.01565,10.8,267.8,274,NEW QUZHOU,IMO9579884,3FEU5,70.0,0.0,291.0,45.0,18.3,70,A,34.445344850408965,-123.23363032162766
354839000,2021-11-14 00:00:03,33.57021,-118.5846,0.4,132.9,331,HAMMERSMITH BRIDGE,IMO9395147,3FQE8,70.0,0.0,336.0,45.0,14.0,71,A,33.56567491881472,-118.57874273076959
366227210,2021-11-14 00:00:01,43.36334,-124.31773,6.8,206.2,200,MAVERICK,IMO7026998,WDK7492,52.0,0.0,36.0,11.0,6.5,90,A,43.26171923954525,-124.38650942262902
366336000,2021-11-14 00:00:04,40.2998,-73.92405,3.6,182.2,197,FUGRO ENTERPRISE,IMO9473585,WDD9388,90.0,0.0,51.0,12.0,3.1,99,A,40.23988462510534,-73.92706796944621
366341000,2021-11-14 00:00:22,28.84528,-116.93246,11.3,328.7,330,PRIDE,IMO9369423,WDE9046,31.0,0.0,41.0,12.0,5.8,57,A,29.00609464463435,-117.04408686327507
366384000,2021-11-14 00:00:02,38.95868,-74.87669,0.0,260.3,511,ALLIANCE,,WDF7948,30.0,0.0,34.0,10.0,4.0,30,A,38.95868,-74.87669
366637150,2021-11-14 00:00:05,47.5562,-122.34163,0.0,319.7,282,HARRY M,,WYR2936,31.0,15.0,28.0,9.0,,32,A,47.5562,-122.34163
366638000,2021-11-14 00:00:01,29.94925,-93.86391,0.0,252.2,511,SURF CHALLENGER,IMO9400693,WDF5385,90.0,0.0,89.0,17.0,5.0,70,A,29.94925,-93.86391
366811310,2021-11-14 00:00:01,47.59032,-122.34867,0.0,134.2,229,JAMES T QUIGG,IMO7129477,WDA4612,31.0,0.0,32.0,9.0,,31,A,47.59032,-122.34867
366811310,2021-11-14 00:01:10,47.59029,-122.34869,0.0,134.2,229,JAMES T QUIGG,IMO7129477,WDA4612,31.0,0.0,32.0,9.0,,31,A,47.59029,-122.34869
366816890,2021-11-14 00:00:00,29.54574,-90.70143,0.0,131.3,511,BUNNY BORDELON,IMO9260756,WDA5139,90.0,0.0,44.0,10.0,3.0,90,A,29.54574,-90.70143
366825190,2021-11-14 00:00:08,48.14068,-123.42551,0.0,239.5,294,PUGET SOUND,,WCZ5670,50.0,9.0,22.0,6.0,,50,A,48.14068,-123.42551
366826570,2021-11-14 00:00:01,29.08457,-95.0695,2.1,169.7,511,MARY BEA,IMO9242053,WDA5998,30.0,0.0,25.0,7.0,,0,B,29.050157227718014,-95.06234376015553
